airport_id,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,iata_code
3919,medium_airport,Truth or Consequences Municipal Airport,33.2369,-107.272003,4853,NA,US,US-NM,Truth or Consequences,TCS
24808,small_airport,Takotna Airport,62.993206,-156.029026,825,NA,US,US-AK,Takotna,TCT
30482,small_airport,Thaba Nchu Tar Airport,-29.31780052,26.82279968,4941,AF,ZA,ZA-FS,Homeward,TCU
27160,small_airport,Tocumwal Airport,-35.81169891,145.6080017,372,OC,AU,AU-NSW,,TCW
5186,medium_airport,Tabas Airport,33.6678009,56.8927002,2312,AS,IR,IR-21,Tabas,TCX
309424,small_airport,Terrace Bay Airport,-19.9713,13.0249,32,AF,NA,NA-KU,Terrace Bay,TCY
300514,medium_airport,Tengchong Tuofeng Airport,24.938056,98.485833,6250,AS,CN,CN-53,Baoshan (Tengchong),TCZ
32429,small_airport,Trinidad Airport,5.43278,-71.6625,649,SA,CO,CO-CAS,Trinidad,TDA
309956,small_airport,Tetebedi Airport,-9.1586,148.0686,3365,OC,PG,PG-NPP,Tetebedi,TDB
6191,medium_airport,Teniente Av. Jorge Henrich Arauz Airport,-14.81869984,-64.91799927,509,SA,BO,BO-B,Trinidad,TDD
5711,medium_airport,Tandag Airport,9.072002,126.17132,16,AS,PH,PH-SUR,Tandag,TDG
32430,small_airport,Tadjoura Airport,11.787037,42.917376,246,AF,DJ,DJ-TA,Tadjoura,TDJ
41868,medium_airport,Taldykorgan Airport,45.12255,78.442758,1925,AS,KZ,KZ-JET,Taldykorgan,TDK
5853,medium_airport,Héroes De Malvinas Airport,-37.234634,-59.228647,574,SA,AR,AR-B,Tandil,TDL
38604,small_airport,Theda Station Airport,-14.790567,126.498041,700,OC,AU,AU-WA,Drysdale River,TDN
21183,small_airport,Ed Carlson Memorial Field South Lewis County Airport,46.47719955,-122.8059998,374,NA,US,US-WA,Toledo,TDO
6206,small_airport,Trompeteros Airport,-3.806010008,-75.03929901,427,SA,PE,PE-LOR,Corrientes,TDP
27982,small_airport,Theodore Airport,-24.99329948,150.0930023,171,OC,AU,AU-QLD,,TDR
309428,small_airport,Sasereme Airport,-7.6217,142.868,121,OC,PG,PG-WPD,Sasereme,TDS
41268,small_airport,Tanda Tula Airport,-24.53359985,31.29999924,1555,AF,ZA,ZA-NP,Welverdiend,TDT
32431,small_airport,Samangoky Airport,-21.70000076,43.73300171,89,AF,MG,MG-U,Tanandava,TDV
21184,small_airport,Tradewind Airport,35.16989899,-101.8259964,3649,NA,US,US-TX,Amarillo,TDW
26643,medium_airport,Trat Airport,12.2746,102.319,105,AS,TH,TH-23,Laem Ngop,TDX
21185,small_airport,Toledo Executive Airport,41.56489944,-83.4822998,623,NA,US,US-OH,Toledo,TDZ
4665,medium_airport,Tela Airport,15.7759,-87.4758,7,NA,HN,HN-AT,Tela,TEA
3920,medium_airport,Teterboro Airport,40.85010147,-74.06079865,9,NA,US,US-NJ,Teterboro,TEB
5985,medium_airport,Telêmaco Borba Airport,-24.317801,-50.6516,2610,SA,BR,BR-PR,Telêmaco Borba,TEC
2557,medium_airport,Thisted Airport,57.06880188,8.705220222,23,EU,DK,DK-81,Thisted,TED
2062,medium_airport,Cheikh Larbi Tébessi Airport,35.43159866,8.12071991,2661,AF,DZ,DZ-12,Tébessi,TEE
27152,medium_airport,Telfer Airport,-21.71500015,122.2289963,970,OC,AU,AU-WA,,TEF
32432,small_airport,Tenkodogo Airport,11.801149,-0.371377,1017,AF,BF,BF-BLG,Tenkodogo,TEG
32433,small_airport,Tezu Airport,27.94120026,96.13439941,800,AS,IN,IN-AR,Tezu,TEI
14173,small_airport,Tatitlek Airport,60.871449,-146.690297,62,NA,US,US-AK,Tatitlek,TEK
32434,small_airport,Telupid Airport,5.628610134,117.1259995,343,AS,MY,MY-12,Telupid,TEL
27153,medium_airport,Temora Airport,-34.421398,147.511993,921,OC,AU,AU-NSW,Temora,TEM
302314,medium_airport,Tongren Fenghuang Airport,27.883333,109.308889,,AS,CN,CN-52,Tongren (Daxing),TEN
302534,small_airport,Terapo Airport,-8.169722222,146.1944444,15,OC,PG,PG-GPK,Terapo Mission,TEO
309953,small_airport,Tep Tep Airport,-5.9553,146.5595,7011,OC,PG,PG-MPM,Teptep,TEP
4544,medium_airport,Tekirdağ Çorlu Airport,41.13819885,27.91909981,574,EU,TR,TR-59,Çorlu,TEQ
4451,medium_airport,Lajes Airport,38.761799,-27.090799,180,EU,PT,PT-20,Praia da Vitória,TER
32435,small_airport,Tessenei Airport,15.104322,36.681711,2018,AF,ER,ER-GB,Tessenei,TES
2984,medium_airport,Chingozi Airport,-16.10479927,33.64020157,525,AF,MZ,MZ-T,Tete,TET
5040,medium_airport,Manapouri Airport,-45.53310013,167.6499939,687,OC,NZ,NZ-STL,,TEU
316427,medium_airport,Teruel Airport,40.410269,-1.217366,3380,EU,ES,ES-AR,Teruel,TEV
21188,small_airport,Telluride Regional Airport,37.9538002,-107.9079971,9070,NA,US,US-CO,Telluride,TEX
32436,small_airport,Þingeyri Airport,65.87030029,-23.55999947,65,EU,IS,IS-4,Þingeyri,TEY
26521,medium_airport,Tezpur Airport,26.70910072,92.78469849,240,AS,IN,IN-AS,,TEZ
309430,small_airport,Tifalmin Airport,-5.1173,141.419,4735,OC,PG,PG-SAN,Tifalmin,TFB
5983,medium_airport,Tefé Airport,-3.38294,-64.724098,186,SA,BR,BR-AM,Tefé,TFF
35192,small_airport,Tufi Airport,-9.075954437,149.3198395,85,OC,PG,PG-NPP,Tufi,TFI
402,small_airport,Juscelino Kubitscheck Airport,-17.89229965,-41.5135994,1572,SA,BR,BR-MG,Teófilo Otoni,TFL
42765,small_airport,Telefomin Airport,-5.12608,141.641922,4950,OC,PG,PG-SAN,Telefomin,TFM
3084,medium_airport,Tenerife Norte-Ciudad de La Laguna Airport,28.4827,-16.341499,2076,AF,ES,ES-CN,Tenerife,TFN
3083,large_airport,Tenerife Sur Airport,28.0445,-16.5725,209,AF,ES,ES-CN,Tenerife,TFS
41626,small_airport,Taftan Airport,28.96419907,61.59540176,2742,AS,PK,PK-BA,Taftan,TFT
342095,large_airport,Chengdu Tianfu International Airport,30.31252,104.441284,1440,AS,CN,CN-51,Chengdu (Jianyang),TFU
333624,small_airport,Muhammad Taufiq Kiemas Airport,-5.211562,103.936501,118,AS,ID,ID-LA,Krui,TFY
26885,medium_airport,Tengah Air Base,1.387561,103.708291,50,AS,SG,SG-03,Western Water Catchment,TGA
26820,small_airport,Tanjung Manis Airport,2.17784,111.202003,15,AS,MY,MY-13,Belawai,TGC
4613,large_airport,Podgorica Airport / Podgorica Golubovci Airbase,42.359402,19.2519,141,EU,ME,ME-16,Podgorica,TGD
26877,medium_airport,Sultan Mahmud Airport,5.382639885,103.1029968,21,AS,MY,MY-11,Kuala Terengganu,TGG
32437,small_airport,Tongoa Airport,-16.89109993,168.5509949,443,OC,VU,VU-SEE,Tongoa Island,TGH
32438,small_airport,Tingo Maria Airport,-9.133000374,-75.94999695,2010,SA,PE,PE-HUC,Tingo Maria,TGI
32439,medium_airport,Tiga Airport,-21.09609985,167.8040009,128,OC,NC,NC-U-A,Tiga,TGJ
44865,medium_airport,Taganrog Yuzhny Airport,47.1983333,38.8491667,117,EU,RU,RU-ROS,Taganrog,TGK
307191,small_airport,Tagula Airport,-11.33111111,153.2029167,59,OC,PG,PG-MBA,Sudest Island,TGL
4487,medium_airport,Transilvania Târgu Mureş International Airport,46.46770096,24.41250038,963,EU,RO,RO-MS,Târgu Mureş,TGM
27041,medium_airport,Latrobe Valley Airport,-38.211004,146.470817,180,OC,AU,AU-VIC,Morwell,TGN
32440,medium_airport,Tongliao Airport,43.556702,122.199997,2395,AS,CN,CN-15,Tongliao,TGO
42955,medium_airport,Podkamennaya Tunguska Airport,61.589699,89.994003,213,EU,RU,RU-KYA,Bor,TGP
586,small_airport,Tangará da Serra Airport,-14.662,-57.443501,1460,SA,BR,BR-MT,Tangará Da Serra,TGQ
2081,medium_airport,Touggourt Sidi Madhi Airport,33.067799,6.08867,279,AF,DZ,DZ-55,Touggourt,TGR
32441,small_airport,Chokwé Airport,-24.52059937,32.96530151,,AF,MZ,MZ-G,Chokwé,TGS
3259,medium_airport,Tanga Airport,-5.09236,39.071201,129,AF,TZ,TZ-25,Tanga,TGT
4666,medium_airport,Toncontín International Airport,14.0609,-87.217201,3294,NA,HN,HN-FM,Tegucigalpa,TGU
43048,medium_airport,Angel Albino Corzo International Airport,16.56360054,-93.02249908,1499,NA,MX,MX-CHP,Tuxtla Gutiérrez,TGZ
21191,small_airport,Tullahoma Regional Arpt/Wm Northern Field,35.38010025,-86.24639893,1083,NA,US,US-TN,Tullahoma,THA
32442,small_airport,Thaba-Tseka Airport,-29.52280045,28.61580086,7500,AF,LS,LS-K,Thaba-Tseka,THB
32443,small_airport,Tchien Airport,6.04565,-8.138723,790,AF,LR,LR-GG,Zwedru,THC
327354,small_airport,Tho Xuan Airport,19.901667,105.467778,59,AS,VN,VN-NC,Thanh Hóa,THD
5982,medium_airport,Senador Petrônio Portela Airport,-5.06025,-42.823712,219,SA,BR,BR-PI,Teresina,THE
27158,medium_airport,Thangool Airport,-24.494863,150.577967,644,OC,AU,AU-QLD,Biloela,THG
30462,small_airport,Taharoa Aerodrome,-38.18109894,174.7079926,69,OC,NZ,NZ-WKO,Taharoa,THH
32444,small_airport,Tichitt Airport,18.45000076,-9.517000198,561,AF,MR,MR-09,Tichitt,THI
32445,small_airport,Thakhek Airport,17.377917,104.857378,449,AS,LA,LA-KH,Thakhek,THK
26742,medium_airport,Tachileik Airport,20.48380089,99.93540192,1280,AS,MM,MM-17,Tachileik,THL
21192,small_airport,Thompson Falls Airport,47.57350159,-115.2809982,2467,NA,US,US-MT,Thompson Falls,THM
2654,medium_airport,Trollhättan-Vänersborg Airport,58.31809998,12.34500027,137,EU,SE,SE-Q,Trollhättan,THN
127,small_airport,Þórshöfn Airport,66.218498,-15.3356,65,EU,IS,IS-6,Þórshöfn,THO
324906,small_airport,Hot Springs County Airport,43.713602,-108.389687,4895,NA,US,US-WY,Thermopolis,THP
44208,medium_airport,Tianshui Maijishan Airport,34.559399,105.860001,3590,AS,CN,CN-62,Tianshui (Maiji),THQ
5168,large_airport,Mehrabad International Airport,35.68920135,51.31340027,3962,AS,IR,IR-23,Tehran,THR
26660,medium_airport,Sukhothai Airport,17.23800087,99.81819916,179,AS,TH,TH-64,,THS
32446,small_airport,Tamchakett Airport,17.23157,-10.77923,620,AF,MR,MR-02,Tamchakett,THT
116,medium_airport,Thule Air Base,76.531197,-68.703201,251,NA,GL,GL-AV,Pituffik,THU
21194,small_airport,York Airport,39.917,-76.873001,495,NA,US,US-PA,Thomasville,THV
313984,seaplane_base,Trincomalee Harbor Waterdrome,8.56,81.22,0,AS,LK,LK-5,Trincomalee,THW
32547,small_airport,Turukhansk Airport,65.79720306,87.93530273,128,AS,RU,RU-KYA,Turukhansk,THX
30485,small_airport,Thohoyandou Airport,-23.07690048,30.38360023,2021,AF,ZA,ZA-NP,Thohoyandou,THY
2126,medium_airport,Tahoua Airport,14.8757,5.26536,1266,AF,NE,NE-5,Tahoua,THZ
3972,large_airport,Tirana International Airport Mother Teresa,41.41469955,19.72060013,126,EU,AL,AL-11,Tirana,TIA
6165,small_airport,Tibú Airport,8.63152,-72.7304,194,SA,CO,CO-NSA,Tibú,TIB
32447,small_airport,Tinak Airport,7.133329868,171.9170074,4,OC,MH,MH-ARN,Arno Atoll,TIC
2065,medium_airport,Abdelhafid Boussouf Bou Chekif Airport,35.341099,1.46315,3245,AF,DZ,DZ-14,Tiaret,TID
32448,small_airport,Tippi Airport,7.2024,35.415,1100,AF,ET,ET-SW,Tippi,TIE
5122,medium_airport,Ta’if Regional Airport,21.483001,40.543442,4848,AS,SA,SA-02,Ta’if,TIF
4985,medium_airport,Tikehau Airport,-15.1196003,-148.2310028,6,OC,PF,PF-U-A,,TIH
32449,small_airport,Tarinkot Airport,32.604198,65.865799,4429,AS,AF,AF-ORU,Tarinkot,TII
4757,large_airport,Aeropuerto Internacional Gral. Abelardo Rodriguez,32.545963,-116.975856,489,NA,MX,MX-BCN,Ciudad de Tijuana,TIJ
3921,medium_airport,Tinker Air Force Base,35.4147,-97.386597,1291,NA,US,US-OK,Oklahoma City,TIK
982,small_airport,Cheadle Airport,51.05749893,-113.6240005,3300,NA,CA,CA-AB,Cheadle,TIL
26748,medium_airport,Mozes Kilangin Airport,-4.52978,136.887388,103,AS,ID,ID-PT,Timika,TIM
2067,medium_airport,Tindouf Airport,27.7003994,-8.167099953,1453,AF,DZ,DZ-37,Tindouf,TIN
32450,small_airport,Tilin Airport,21.70000076,94.09999847,1385,AS,MM,MM-03,Tilin,TIO
5434,medium_airport,Tinian International Airport,14.9992,145.619003,271,OC,MP,MP-U-A,Tinian Island,TIQ
26627,small_airport,Tirupati Airport,13.63249969,79.54329681,350,AS,IN,IN-AP,Tirupati,TIR
5056,medium_airport,Timaru Airport,-44.30279922,171.2250061,89,OC,NZ,NZ-CAN,,TIU
4615,medium_airport,Tivat Airport,42.40470123,18.72330093,20,EU,ME,ME-19,Tivat,TIV
3922,medium_airport,Tacoma Narrows Airport,47.26789856,-122.5780029,294,NA,US,US-WA,Tacoma,TIW
3923,medium_airport,Space Coast Regional Airport,28.51479912,-80.79920197,34,NA,US,US-FL,Titusville,TIX
3131,small_airport,Tidjikja Airport,18.570101,-11.4235,1342,AF,MR,MR-09,Tidjikja,TIY
32451,small_airport,Tari Airport,-5.84499979,142.947998,5500,OC,PG,PG-HE,Tari,TIZ
6190,medium_airport,Capitan Oriel Lea Plaza Airport,-21.5557,-64.701302,6079,SA,BO,BO-T,Tarija,TJA
32452,small_airport,Sei Bati Airport,1.0527,103.3931,33,AS,ID,ID-RI,Tanjung Balai-Karinmunbesar Island,TJB
315014,small_airport,Ticantiquí Airport,9.4185,-78.4896,17,NA,PA,PS-GY,Ticantiquí,TJC
26778,medium_airport,Warukin Airport,-2.21656,115.435997,197,AS,ID,ID-KS,Tanta-Tabalong,TJG
5541,medium_airport,Konotori Tajima Airport,35.512798,134.787003,584,AS,JP,JP-28,Toyooka,TJH
4667,medium_airport,Trujillo Airport,15.926599,-85.938573,3,NA,HN,HN-CL,Trujillo,TJI
4525,medium_airport,Tokat Airport,40.30743027,36.36740875,1831,AS,TR,TR-60,Tokat,TJK
508,small_airport,Plínio Alarcom Airport,-20.752643,-51.682026,1063,SA,BR,BR-MS,Três Lagoas,TJL
26379,medium_airport,Roshchino International Airport,57.1896019,65.32430267,378,AS,RU,RU-TYU,Tyumen,TJM
32050,small_airport,Takume Airport,-15.857434,-142.266469,7,OC,PF,PF-U-A,Takume,TJN
26842,small_airport,H A S Hanandjoeddin International Airport,-2.74572,107.754997,164,AS,ID,ID-BB,Tanjung Pandan,TJQ
26758,small_airport,Tanjung Harapan Airport,2.835833333,117.3736111,10,AS,ID,ID-KU,Tanjung Selor-Borneo Island,TJS
6377,medium_airport,Kulob Airport,37.98809814,69.80500031,2293,AS,TJ,TJ-KT,Kulyab,TJU
26626,small_airport,Thanjavur Air Force Station,10.723835,79.109457,253,AS,IN,IN-TN,Thanjavur,TJV
24910,medium_airport,Talkeetna Airport,62.32049942,-150.0939941,358,NA,US,US-AK,Talkeetna,TKA
312258,small_airport,Tekadu Airport,-7.6808,146.5503,1310,OC,PG,PG-MPL,Tekadu,TKB
2881,medium_airport,Tiko Airport,4.089190006,9.3605299,151,AF,CM,CM-SW,Tiko,TKC
2095,medium_airport,Takoradi Airport,4.89605999,-1.774760008,21,AF,GH,GH-WP,Sekondi-Takoradi,TKD
24911,seaplane_base,Tenakee Seaplane Base,57.77970123,-135.2180023,0,NA,US,US-AK,Tenakee Springs,TKE
21220,medium_airport,Truckee Tahoe Airport,39.31999969,-120.1399994,5900,NA,US,US-CA,Truckee,TKF
26827,medium_airport,Radin Inten II International Airport,-5.246803,105.182531,282,AS,ID,ID-LA,Bandar Lampung,TKG
